City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hermanus,ZA,-34.4187,19.2345,68.81,67,85,3.22,overcast clouds
80,Hvolsvollur,IS,63.7533,-20.2243,47.07,86,100,3.04,overcast clouds
81,Butaritari,KI,3.0707,172.7902,80.17,71,79,7.45,broken clouds
82,Chuy,UY,-33.6971,-53.4616,81.28,36,9,12.37,clear sky
83,Inirida,CO,3.8653,-67.9239,76.14,90,100,2.51,overcast clouds
84,Sakaiminato,JP,35.55,133.2333,47.97,57,100,15.46,overcast clouds
85,Tasiilaq,GL,65.6145,-37.6368,32.16,77,100,11.27,overcast clouds
86,Chiredzi,ZW,-21.05,31.6667,67.93,96,76,3.85,broken clouds
87,Ushuaia,AR,-54.8,-68.3,49.66,50,75,14.97,broken clouds
88,Kruisfontein,ZA,-34.0033,24.7314,70.88,81,100,12.35,overcast clouds
89,Cidreira,BR,-30.1811,-50.2056,76.48,58,0,6.71,clear sky
90,Ascope,PE,-7.7144,-79.1078,70.93,51,100,8.14,overcast clouds
91,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,0.0,scattered clouds
92,Lubao,PH,14.9167,120.55,77.07,78,31,3.31,scattered clouds
93,Khatanga,RU,71.9667,102.5,-16.76,99,97,3.67,overcast clouds
94,Palauig,PH,15.435,119.9045,80.82,74,29,3.51,scattered clouds
95,Nemuro,JP,43.3236,145.575,33.58,78,0,15.97,clear sky
96,Vozhega,RU,60.4725,40.2213,17.24,80,87,13.06,overcast clouds
97,Praia,CV,14.9215,-23.5087,75.74,57,75,14.97,broken clouds
98,Saint-Max,FR,48.7043,6.21,65.1,34,0,4.61,clear sky
99,Saskylakh,RU,71.9167,114.0833,-5.96,99,100,3.85,overcast clouds
100,Lagoa,PT,39.05,-27.9833,59.22,86,69,13.6,broken clouds
101,Hanmer Springs,NZ,-42.5167,172.8167,49.73,84,0,2.64,clear sky
102,Maunabo,PR,18.0072,-65.8993,88.65,68,19,7.99,few clouds
103,Viedma,AR,-40.8135,-62.9967,72.41,25,0,12.93,clear sky
104,Port Alfred,ZA,-33.5906,26.891,70.18,85,63,5.01,broken clouds
105,Murray Bridge,AU,-35.1167,139.2667,64.13,71,100,6.15,light rain
106,Maryborough,AU,-25.5333,152.7,70.11,98,87,3.02,overcast clouds
107,Ballina,AU,-28.8667,153.5667,69.01,99,98,4.83,moderate rain
108,Roma,US,43.2128,-75.4557,33.96,80,100,20.0,overcast clouds
109,Hilo,US,19.7297,-155.09,71.33,83,75,3.44,broken clouds
110,Evensk,RU,61.95,159.2333,6.33,80,48,14.81,scattered clouds
111,Mapiri,BO,-15.25,-68.1667,84.76,56,75,2.73,broken clouds
112,Pevek,RU,69.7008,170.3133,-17.5,100,89,6.98,overcast clouds
113,Mirnyy,RU,62.5353,113.9611,10.36,99,99,3.02,overcast clouds
114,Mackay,AU,-21.15,149.2,69.67,87,8,5.59,clear sky
115,Geraldton,AU,-28.7667,114.6,73.81,78,75,14.97,broken clouds
116,Cabedelo,BR,-6.9811,-34.8339,83.07,75,96,11.77,overcast clouds
117,Ilulissat,GL,69.2167,-51.1,28.42,43,0,8.05,clear sky
118,Mahebourg,MU,-20.4081,57.7,79.09,83,40,0.0,scattered clouds
119,Guaymas,MX,27.9333,-110.9,81.88,16,75,0.0,broken clouds
120,Prince George,CA,53.9166,-122.753,40.24,91,100,8.05,overcast clouds
121,Lyubech,UA,51.7026,30.6569,30.58,42,87,11.32,overcast clouds
122,Rocha,UY,-34.4833,-54.3333,82.2,29,1,13.22,clear sky
123,Jian,CN,27.1172,114.9793,51.51,90,99,4.23,overcast clouds
124,Karanganom,ID,-7.6489,110.625,74.77,91,100,2.01,overcast clouds
125,Hasaki,JP,35.7333,140.8333,50.29,65,100,11.14,overcast clouds
126,Chokurdakh,RU,70.6333,147.9167,-9.47,100,98,6.38,overcast clouds
127,Meulaboh,ID,4.1363,96.1285,78.24,84,94,3.11,overcast clouds
128,Cape Town,ZA,-33.9258,18.4232,73.35,42,47,2.04,scattered clouds
129,Narsaq,GL,60.9167,-46.05,41.22,59,100,11.88,overcast clouds
130,Senanga,ZM,-16.1167,23.2667,73.6,65,62,4.92,broken clouds
131,Leningradskiy,RU,69.3833,178.4167,-14.73,92,4,5.19,clear sky
132,Shellbrook,CA,53.2168,-106.4011,16.83,82,100,10.6,overcast clouds
133,Road Town,VG,18.4167,-64.6167,82.44,65,20,9.22,few clouds
134,San Rafael,AR,-34.6177,-68.3301,81.37,17,62,6.11,broken clouds
135,Busselton,AU,-33.65,115.3333,58.21,70,0,14.56,clear sky
136,Mathathane,BW,-22.2687,28.7495,74.16,67,75,13.06,broken clouds
137,Cap Malheureux,MU,-19.9842,57.6142,78.48,83,24,1.99,few clouds
138,Riyadh,SA,24.6877,46.7219,64.54,19,0,10.33,clear sky
139,Mayumba,GA,-3.432,10.6554,80.01,91,42,8.46,light rain
140,Shyryayeve,UA,47.3805,30.1964,42.12,36,46,13.82,scattered clouds
141,Mar Del Plata,AR,-38.0023,-57.5575,75.22,59,0,21.99,clear sky
142,Ust-Tarka,RU,55.5672,75.705,5.94,98,92,4.92,overcast clouds
143,Trofors,NO,65.5333,13.4063,40.87,97,100,28.74,light rain
144,Raga,SS,8.4596,25.678,80.31,11,96,4.92,overcast clouds
145,East London,ZA,-33.0153,27.9116,68.94,88,0,10.36,clear sky
146,Caravelas,BR,-17.7125,-39.2481,84.97,59,8,9.62,clear sky
147,Murdochville,CA,48.9583,-65.5006,23.88,96,100,6.89,snow
148,Aklavik,CA,68.2191,-135.0107,-7.6,77,0,2.3,clear sky
149,Nan,TH,18.8333,100.6667,79.7,47,9,0.74,clear sky
150,Biltine,TD,14.5333,20.9167,81.19,7,1,15.77,clear sky
151,Dubna,RU,56.7333,37.1667,21.25,71,100,14.14,overcast clouds
152,Oistins,BB,13.0667,-59.5333,86.09,58,20,19.57,few clouds
153,Lorengau,PG,-2.0226,147.2712,80.29,79,84,6.93,broken clouds
154,Mount Gambier,AU,-37.8333,140.7667,62.51,88,75,4.61,broken clouds
155,Nago,JP,26.5881,127.9761,64.83,79,100,14.41,overcast clouds
156,Ambilobe,MG,-13.2,49.05,75.56,92,35,2.59,scattered clouds
157,Havoysund,NO,70.9963,24.6622,19.63,73,88,10.18,overcast clouds
158,Baruun-Urt,MN,46.6806,113.2792,28.89,32,68,6.58,broken clouds
159,Tadine,NC,-21.55,167.8833,75.49,79,64,12.82,broken clouds
160,Aksarka,RU,66.5606,67.7975,18.43,95,100,11.77,light snow
161,Barentu,ER,15.1139,37.5928,76.12,39,3,5.84,clear sky
162,Ola,RU,59.5833,151.2833,2.37,83,72,11.43,broken clouds
163,Yar-Sale,RU,66.8333,70.8333,10.42,97,83,11.16,broken clouds
164,Deputatskiy,RU,69.3,139.9,-11.45,97,65,5.19,broken clouds
165,Carnarvon,AU,-24.8667,113.6333,71.67,78,40,4.61,scattered clouds
166,Umm Lajj,SA,25.0213,37.2685,72.5,54,15,19.44,few clouds
167,Talnakh,RU,69.4865,88.3972,2.21,86,55,4.43,broken clouds
168,Tacuarembo,UY,-31.7333,-55.9833,77.81,51,4,9.75,clear sky
169,Itoman,JP,26.1247,127.6694,66.22,77,100,12.66,overcast clouds
170,Saint-Leu,RE,-21.15,55.2833,77.86,81,94,3.96,light rain
171,Calabozo,VE,8.9242,-67.4293,98.37,29,100,8.68,overcast clouds
172,Spencer,US,43.1414,-95.1444,30.49,46,20,9.22,few clouds
173,Kamenka,RU,51.3223,42.7678,25.02,79,100,17.58,overcast clouds
174,Salinas,US,36.6777,-121.6555,60.89,71,40,9.22,scattered clouds
175,Slatina,RO,44.4333,24.3667,59.31,42,4,6.49,clear sky
176,Uige,AO,-7.6087,15.0613,70.72,90,75,2.04,light rain
177,Atbasar,KZ,51.8,68.3333,24.55,96,99,4.38,overcast clouds
178,Matara,LK,5.9485,80.5353,78.37,87,16,6.78,few clouds
179,Bonaventure,CA,48.0457,-65.4926,41.58,70,100,9.22,overcast clouds
180,Jardim,BR,-21.4803,-56.1381,86.79,48,12,2.39,few clouds
181,Noumea,NC,-22.2763,166.4572,69.78,83,52,10.18,broken clouds
182,Chengdu,CN,30.6667,104.0667,54.0,76,6,2.89,clear sky
183,Yankton,US,42.8711,-97.3973,40.12,29,100,0.0,overcast clouds
184,Nioki,CD,-2.7167,17.6833,78.75,76,92,1.74,light rain
185,Victoria,HK,22.2855,114.1577,67.24,85,100,11.01,overcast clouds
186,Ponta Do Sol,PT,32.6667,-17.1,63.01,80,49,5.95,scattered clouds
187,Wagrowiec,PL,52.8084,17.1996,49.32,49,46,8.46,scattered clouds
188,Shimanovsk,RU,52.0,127.7,14.54,90,10,3.71,clear sky
189,Poronaysk,RU,49.2167,143.1167,28.31,79,100,12.21,overcast clouds
190,Lengshuitan,CN,26.4111,111.5956,51.35,92,97,1.34,overcast clouds
191,Lieksa,FI,63.3167,30.0167,18.1,83,99,3.29,overcast clouds
192,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,89,75,16.11,broken clouds
193,Port Said,EG,31.2565,32.2841,59.86,66,0,11.77,clear sky
194,Pemba,MZ,-12.974,40.5178,82.09,72,5,8.5,clear sky
