City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vallenar,CL,86.22,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
1,Luwuk,ID,77.79,moderate rain,-0.9516,122.7875,Hotel Santika Luwuk
2,Mana,GF,80.87,overcast clouds,5.6592,-53.7767,LE SAMANA
3,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,San Juan,AR,85.39,scattered clouds,-31.5375,-68.5364,Hotel Provincial
9,Vaini,TO,77.16,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
12,Rikitea,PF,78.87,clear sky,-23.1203,-134.9692,People ThankYou
13,Castro,BR,77.83,clear sky,-24.7911,-50.0119,CHACARA BAILLY
18,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Antsohihy,MG,76.3,overcast clouds,-14.8796,47.9875,Hotel de Ville
25,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
28,Faanui,PF,81.37,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
29,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
31,Malakal,SS,88.74,overcast clouds,9.5334,31.6605,Nile Palace Hotel
32,Biak,ID,76.41,light rain,-0.9131,122.8766,Penginapan Kim
33,San Patricio,US,82.49,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Sur,OM,80.92,clear sky,22.5667,59.5289,Sur Plaza Hotel
39,Dingle,PH,76.78,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
43,Hithadhoo,MV,82.56,clear sky,-0.6,73.0833,Scoop Guest House
45,Atuona,PF,78.96,scattered clouds,-9.8,-139.0333,Villa Enata
49,Saint-Philippe,RE,79.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
51,Cockburn Town,TC,76.51,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
64,Pathein,MM,79.88,clear sky,16.7833,94.7333,Pathein Hotel
65,Saint George,US,75.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
69,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
78,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
81,Butaritari,KI,80.17,broken clouds,3.0707,172.7902,Isles Sunset Lodge
82,Chuy,UY,81.28,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
83,Inirida,CO,76.14,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
89,Cidreira,BR,76.48,clear sky,-30.1811,-50.2056,Hotel Castelo
91,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
92,Lubao,PH,77.07,scattered clouds,14.9167,120.55,Hacienda Gracia
94,Palauig,PH,80.82,scattered clouds,15.435,119.9045,Alperi Botique Resort
97,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
102,Maunabo,PR,88.65,few clouds,18.0072,-65.8993,Maunacaribe
116,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
118,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
119,Guaymas,MX,81.88,broken clouds,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
122,Rocha,UY,82.2,clear sky,-34.4833,-54.3333,Hotel Arrarte
127,Meulaboh,ID,78.24,overcast clouds,4.1363,96.1285,Kost Pria
133,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
134,San Rafael,AR,81.37,broken clouds,-34.6177,-68.3301,Hotel San Rafael
137,Cap Malheureux,MU,78.48,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
139,Mayumba,GA,80.01,light rain,-3.432,10.6554,LIKWALE LODGE
141,Mar Del Plata,AR,75.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
146,Caravelas,BR,84.97,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
149,Nan,TH,79.7,clear sky,18.8333,100.6667,สะเนียน2
150,Biltine,TD,81.19,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
152,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
153,Lorengau,PG,80.29,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
156,Ambilobe,MG,75.56,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
168,Tacuarembo,UY,77.81,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
170,Saint-Leu,RE,77.86,light rain,-21.15,55.2833,La Caz Oceane
178,Matara,LK,78.37,few clouds,5.9485,80.5353,Amaloh Boutique Resort
180,Jardim,BR,86.79,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
192,Arraial Do Cabo,BR,84.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
194,Pemba,MZ,82.09,clear sky,-12.974,40.5178,Guesthouse Samotina
196,Buin,CL,78.06,overcast clouds,-33.7333,-70.75,Paihuen
199,Jati,PK,81.84,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
203,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
208,Matamoros,MX,80.71,clear sky,25.5333,-103.25,Quinta Belem
210,Rafaela,AR,83.98,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
